paper_ID,KL_score,variance
0,-1.8923849009643452,119.6792146486418
1,-1.5633439303588388,120.01535447922875
2,-2.143710985450258,120.23458164987089
3,-1.4754732678998352,119.92597083572733
4,-1.4901273687995857,120.03353979738336
5,-1.4817433013163703,120.26078142649123
6,-1.6998209256455639,119.99156606343323
7,-1.7108391290982896,119.9068497226559
8,-1.8736190620372335,119.99933128438472
9,-1.9396002491956212,119.81424900864062
10,-1.9371810669809073,120.05917068926773
11,-1.9312009713231704,119.83626420952855
